input_id	clean_full_add	is_good_addy	lat	long	loc_name	street_add	unit	city	state	zip_code	active_status_str	curr_price	curr_type	curr_date	bedrooms	full_baths	half_baths	parking	land_area	live_area	lanai_area	other_area	island	region	hood	pets_allowed	res_man	deposit	term	description	unit_features	parking_features	frontage	view	furnished	amenities	pool	inclusions	build_style	disclosures	img_urls
202408049	4346 Kahala Ave, Honolulu, HI 96816	True	21.2604933	-157.7920918	-	4346 Kahala Ave	-	Honolulu	HI	96816	Active	$19,500	Long Term	April 10, 2024	4	4	1	3	13,500	3,200	--	--	Oahu	Diamond Head	Kahala Area	--	No	$19,500	1 Year	A perfect family home with a gated grand driveway entry that leads to a luxurious 4 bdrm, 4.5 bath home on prestigious Kahala Ave with a 3-car enclosed showroom style garage. This immaculate smart home with high ceiling has crystal clear glass doors in the living area that opens up to the swimming/lap pool, & hot tub. The pool area has a full bathroom, and an interior wet kitchen that opens up to the pool area. The home features PV solar panels, high-end kitchen appliances, 2 offices (one could be converted into a play room). The home is furnished but can be rented without the furniture (except for the dining table). The large master bdrm and a guest bdrm is situated on the 1st floor equipped with its own spacious bathrooms and both bdrms can be opened up to the pool area. 2 other bdrms on the 2nd level shares a hall bath. A separate bonus room on the 2nd level via its own staircase can be used as a bdrm or storage. The house features central air conditioning in the main living area, and the bdrms and office are equipped with split air conditioning. Yard and pool service is included. 12 months minimum term preferred. Good credit, verifiable income, and renters insurance required.	AC Central, AC Split, Central AC, Dishwasher, Disposal, Dryer, Full Bath on 1st Floor, Lanai, Microwave, Range/Oven, Refrigerator, Security System, Solar Electric, Washer	Covered - 3+, Garage, Open - 3+, Street	--	Other	Negotiable	BBQ, Patio/Deck, Whirlpool	--	--	Detach Single Family	Application Fee, Insurance Required, Non-Smoking	['https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_21.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_22.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_23.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_24.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/49/202408049_25.jpg']
202406413	4999 Kahala Ave #204, Honolulu, HI 96816	True	21.2719701	-157.7749931	Kahala Beach	4999 Kahala Ave #204	##204	Honolulu	HI	96816	Active	$5,650	Long Term	April 01, 2024	2	2	0	1	291,024	1,258	--	--	Oahu	Diamond Head	Waialae G/C	No	No	$5,650	6 Months	"Understated elegance describes this lush, tropical, bright, fully furnished condo in premium location at Kahala Beach! Beautiful kitchen with granite countertop, highly remodeled bathrooms with natural stones. Open lanai with nice treetop views, lots of sunlight, bright unit. Quiet, private, elegant and fully furnished including furniture, kitchen ware, linens, etc... Ready to move-in! 1 parking included.
6 month rental minimum or 30 day minimum. Located between The Kahala Resort & Spa and Waialae Country Club, minutes from Kahala Mall."	AC Central, Bedroom on 1st Level, Chandelier, Dishwasher, Drapes, Dryer, Even# Unit, Full Bath on 1st Floor, Kitchenware, Lanai, Linens, Microwave, Range/Oven, Refrigerator, Single Level, Washer	Assigned, Covered - 1, Guest	--	Garden	Full	Exercise Room, Heated Pool, Pool on Property, Resident Manager, Security Guard, Trash Chute, Walking/Jogging Path	--	--	Low-Rise 6 or Less Stories	GET-tenant pays, Insurance Required, Non-Smoking, See Remarks	['https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_21.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_22.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_23.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/13/202406413_24.jpg']
202411357	1426 Laamia St, Honolulu, HI 96821	True	21.2788416	-157.7644999	-	1426 Laamia St	-	Honolulu	HI	96821	Active	$4,800	Long Term	May 18, 2024	3	2	0	2	8,250	1,876	--	--	Oahu	Diamond Head	Waialae Iki	Yes	No	$4,800	1 Year	"Beautiful Views from this 3 Bedroom 2 Bath home on Lower Waialae Iki Ridge. 2 Car Enclosed Garage. Large Deck Area for Entertaining. Butcher Block Counters in Kitchen. Private Pool in Backyard. Brand New Vinyl Plank Flooring to Lower Bedroom Level.
Many Steps to Main House. Pool and Yard Service Included. Solar Water Heater! Pets Negotiable."	AC Window Unit, Auto Garage Door Opener, Blinds, Cable TV, Ceiling Fan, Chandelier, Dishwasher, Disposal, Dryer, Fenced, Lanai, Microwave, Range Hood, Range/Oven, Refrigerator, Smoke Detector, Split Level, Storage, Washer, Yard	Assigned, Covered - 2, Garage, Guest, Street, Tandem	--	City, Coastline, Garden, Mountain, Ocean, Sunset	Partial	Patio/Deck, Pool on Property, Storage	--	--	Detach Single Family, Walk-Up	Application Fee	['https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/57/202411357_18.jpg']
202406866	3041 Kalakaua Ave, Honolulu, HI 96815	True	21.2587047	-157.8189516	-	3041 Kalakaua Ave	-	Honolulu	HI	96815	Active	$10,000	Long Term	June 01, 2024	4	2	0	2	6,869	2,537	--	--	Oahu	Diamond Head	Diamond Head	Yes	No	$10,000	1 Year, 6 Months	"A premium waterfront Gold Coast home is being offered for long term rental. Located in the heart of Diamond Head this 4 Bedroom, 2 Bath home is fully furnished.
Come home to your beachy, boho-chic getaway everyday with a slice of vintage postcard Hawaii. Your ""backyard"" is the iconic Tonggs surf break; and some of the best sandy beaches, parks, hiking, are all within minutes. Ride the classic waves and take a dip in the sparkling ocean...seconds from your lanai. Ocean and marine life are often spotted here.
After a day at the beach, enjoy sunsets and romantic city lights from your private lanai. You will love the easy neighborhood conveniences. Large deck, lanai, and private gardens are for your exclusive use.
Split AC units in every bedroom or let the ocean waves and breeze lull you to sleep.
It's all about location, and it doesn't get much better than this ""not so secret"" neighborhood! Pets negotiable, non-smoking property. Tenant liability insurance required. Tenant pays Cable & Internet. Yard Service, Electricity, Water, Trash, Sewer, & Parking included. Application Fees of $25/adult."	Blinds, Bedroom on 1st Level, Book Shelves, Dishwasher, Disposal, Drapes, Dryer, Full Bath on 1st Floor, Fenced, Kitchenware, Lanai, Linens, Microwave Hood, Microwave, Range/Oven, Refrigerator, Smoke Detector, Washer, Yard	Carport, Covered - 2, Street, Tandem	Ocean, Waterfront	City, Coastline, Garden, Mountain, Ocean, Sunset	Full	Patio/Deck	--	--	Detach Single Family	Application Fee, Insurance Required, Non-Smoking, Pet on Property, See Remarks	['https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_21.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_22.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_23.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/66/202406866_24.jpg']
202306077	4999 Kahala Ave #164, Honolulu, HI 96816	True	21.2719701	-157.7749931	Kahala Beach	4999 Kahala Ave #164	##164	Honolulu	HI	96816	Active	$5,000	Long Term	May 09, 2024	2	2	0	1	291,024	1,258	297	--	Oahu	Diamond Head	Waialae G/C	No	Yes	$5,000	1 Year	Conveniently located on the ground level of the Kahala Beach Apartments, unit #164 faces the lush, tropical gardens of this tranquil beachfront property. Avoid having to wait for the elevator to quickly access the pool, beach, and amenities of this popular vacation destination. Enjoy a spacious open lanai overlooking the lush gardens and experience all that Hawaii has to offer on your nearly 300 sq. ft. covered (but not enclosed) lanai. Inside you will experience parquet wood floors and a spacious 2 bedroom, 2 bath unit offering a fully stocked kitchen with washer & dryer inside. Unit includes central A/C, WiFi and HDTV programming. Building has 24-hour security, 1 assigned garage parking, heated swimming pool, fitness center and direct beach access. Please view the 3-D Matterport tour first and contact Kimo Smigielski (RB-18873) at 808-255-2400 or [email protected] to help answer any questions. 4.712% GE tax to be added on top of the rental rate. $25 application fee per adult applicant. No smoking in the unit or building grounds, no pets allowed.	AC Central, Blinds, Cable TV, Dishwasher, Disposal, Dryer, Lanai, Microwave, Range Hood, Range/Oven, Refrigerator, Washer	Assigned, Covered - 1, Guest	Ocean, Sandy Beach	Garden	Full	Exercise Room, Heated Pool, Security Guard, Trash Chute	--	--	Low-Rise 6 or Less Stories	Application Fee, GET-tenant pays, Non-Smoking	['https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/77/202306077_21.jpg']
202410960	2983 Makalei Pl, Honolulu, HI 96815	True	21.2580059	-157.814752	-	2983 Makalei Pl	-	Honolulu	HI	96815	Active	$12,500	Long Term	May 09, 2024	3	2	1	4	13,783	3,170	320	--	Oahu	Diamond Head	Diamond Head	No	No	$12,500	1 Year	"Coastal living at its best. Enjoy this stunning 3 bdr/2.5 bth residence in one of the most coveted streets in the premier neighborhood in Diamond Head. Expansive living room opening up to a private courtyard and lanai looking out to the gorgeous ocean views. Upstairs features an office/den plus 3 bedrooms including the primary suite with a private lanai and stunning ocean views. Gated property featuring a tiled pool, long private driveway, and 2- car garage. Premier location just minutes to sandy beaches, surf spots, Kapiolani Park, Waikiki, restaurants, shopping, and more. No pets. NO VIRTUAL SHOWINGS. MUST VIEW IN PERSON BEFORE APPLYING.
VIEWING MUST BE SCHEDULED ONLINE. To see details of all listings, schedule a viewing or apply go to: https://app.tenantturner.com/listings/pinnaclemanagementgroup (copy/paste on browser if needed)."	AC Split, Auto Garage Door Opener, Ceiling Fan, Dishwasher, Disposal, Lanai, Microwave, Range/Oven, Refrigerator, Smoke Detector, Yard	Covered - 2, Garage, Open - 2	Other	Diamond Head, Mountain, Ocean	None	Pool on Property	--	--	Detach Single Family	Application Fee, Insurance Required, Non-Smoking	['https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_21.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_22.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_23.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/60/202410960_24.jpg']
202408289	2877 Kalakaua Ave #304, Honolulu, HI 96815	True	21.262885	-157.821326	Sans Souci Inc	2877 Kalakaua Ave #304	##304	Honolulu	HI	96815	Active	$5,800	Long Term	April 15, 2024	1	1	0	1	--	707	250	--	Oahu	Diamond Head	Diamond Head	No	Yes	$5,800	6 Months, Month to Month	This charming, one bedroom with one bathroom in Sans Souci is literally beachfront.Nestled on Kaimana Beach, this unit is fully furnished and boasts a complete kitchen, wifi & cable is included for your convenience. All utilities are included plus one parking stall. Parking and building are secure. Located near to the Hau Tree Lanai and other eateries. Across form Kapiolani Park. Close to the Waikiki Aquarium and Honolulu Zoo.	Auto Garage Door Opener, Cable TV, Ceiling Fan, Dishwasher, Disposal, Drapes, Dryer, Even# Unit, Kitchenware, Lanai, Linens, Microwave Hood, Range/Oven, Refrigerator, Washer	Assigned, Open - 1	Ocean, Sandy Beach	City, Coastline, Ocean, Sunset	Full	Resident Manager	--	--	Co-op, High-Rise 7+ Stories	Application Fee	['https://s3.amazonaws.com/photos.re.parallel21.com/89/202408289_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/89/202408289_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/89/202408289_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/89/202408289_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/89/202408289_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/89/202408289_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/89/202408289_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/89/202408289_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/89/202408289_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/89/202408289_10.jpg']
202404496	-	False	-	-	-	-	-	-	-	-	Active	$16,500	Long Term	August 15, 2024	6	4	1	2	11,625	3,662	--	--	Oahu	Diamond Head	Kahala Area	No	No	$16,500	6 Months	"Nestled on a quieter street in one of the most sought after neighborhood in Honolulu, this Kahala mini oasis awaits you. Gated and private, this multi-level, spacious, upgraded home is perfect for a growing family. Inviting kitchen and free flowing floor plan with two living rooms and dinning room which open to the outdoor pool, lounge, seating, outdoor dining and BBQ area is prefect for indoor outdoor living and entertaining. Enjoy lazy days and nights by the pool listening to tranquil sounds from manmade waterfalls rising some 30 plus feet in the back yard. Bedrooms are located on the upper levels and in separate wings for privacy. Separate guest room with full bath and wet bar located off the garage area. The two car garage offers extra storage space.
Property is Available August 15th long term at $16, 500.00 fully furnished, includes Gardner and pool service. Tenant pays own utilities."	AC Split, Auto Garage Door Opener, Blinds, Ceiling Fan, Dishwasher, Disposal, Dryer, Fenced, Kitchenware, Lanai, Linens, Microwave Hood, Microwave, Multi Level, Refrigerator, Security System, Smoke Detector, Washer, Yard	Covered - 2, Secured Entry, Street	Other	Sunrise	Full	BBQ, Pool on Property, Private Yard	--	--	Detach Single Family, Studio Cottage	--	['https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_18.jpg']
202408772	2895 Kalakaua Ave #1707, Honolulu, HI 96815	True	21.2623923	-157.821089	Colony Surf Ltd	2895 Kalakaua Ave #1707	##1707	Honolulu	HI	96815	Active	$5,000	Long Term	April 23, 2024	1	1	0	1	--	900	--	--	Oahu	Diamond Head	Diamond Head	No	Yes	$5,000	Other		--	--	--	Diamond Head, Mountain, Ocean, Sunset	Full	--	--	--	High-Rise 7+ Stories	--	['https://s3.amazonaws.com/photos.re.parallel21.com/72/202408772_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202408772_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202408772_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202408772_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202408772_05.jpg']
202411572	4300 Waialae Ave #A2, Honolulu, HI 96816	True	21.2793035	-157.7851635	Kahala Towers	4300 Waialae Ave #A2	##A2	Honolulu	HI	96816	Active	$4,500	Long Term	May 24, 2024	3	2	1	2	117,002	1,620	--	--	Oahu	Diamond Head	Waialae Nui Vly	No	Yes	$4,500	1 Year	Kahala Towers - Two-story Penthouse condominium with panoramic Diamond Head, Golf Course, & Pacific Ocean views in the heart of prestigious Kahala. Can be rented furnished on non-furnished. Inside, a modern-design contemporary 3 bedroom, 2.5 bath, 2-story, 1, 620 sq.ft. floor plan features additional ceiling height on the entry level that's unique to the Penthouse suites. Features include expansive floor-to-ceiling glass in the large main living area with panoramic views of paradise. A dedicated dining area, upgraded kitchen, all bathrooms upgraded, upgraded flooring, smoothed ceilings, & more. All three bedrooms are on the second level, with the primary bedroom suite having a Diamond Head and Ocean views. As one Kahala's few high-rise condominiums, Kahala Towers is a fantastic opportunity to live in one of Honolulu's most prestigious neighborhoods. This ultra-convenient location puts you blocks from Kahala Mall, next door to Kuono Marketplace with the newly-finished Foodland Farms & neighboring restaurants, minutes to Kahala's beaches, & easy freeway access to all-things Honolulu.	Blinds, Ceiling Fan, Dishwasher, Disposal, Dryer, Microwave Hood, Penthouse, Range/Oven, Refrigerator, Smoke Detector, Split Level, Washer	Assigned, Covered - 2, Garage	--	Diamond Head, Golf Course, Mountain, Ocean	Negotiable	Pool on Property, Resident Manager, Security Guard, Trash Chute	--	--	High-Rise 7+ Stories	Application Fee, Insurance Required, Non-Smoking	['https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_21.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_22.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_23.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_24.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/72/202411572_25.jpg']
