input_id	clean_full_add	is_good_addy	lat	lon	loc_name	street_add	unit	city	state	zip_code	active_status_str	curr_price	curr_type	curr_date	bedrooms	full_baths	half_baths	parking	land_area	live_area	lanai_area	other_area	island	region	hood	pets_allowed	res_man	deposit	term	description	unit_features	parking_features	frontage	view	furnished	amenities	pool	inclusions	build_style	disclosures	img_urls	orig_url
202416345	1158 Kealaolu Ave, Honolulu, HI 96816	True	21.2770865	-157.7837976	-	1158 Kealaolu Ave	-	Honolulu	HI	96816	Active	$5,500	Long Term	August 01, 2024	3	2	1	2	11,250	1,385	--	--	Oahu	Diamond Head	Kahala Area	No	No	$5,500	1 Year	3 bdrm, 2.5 baths home in Kahala with an automatic driveway gate to the carport garage. Large open living/dining area with spacious open-concept modern kitchen. Split system air conditioning in each room. Washer/dryer and window coverings are included. The property is fenced and has a large backyard with a full-grown avocado tree. Includes yard service. There is also a small enclosed storage area adjacent to the garage. Near Kahala Mall and convenient freeway access. Tenant pays all utilities. Good credit, verifiable income, and renters insurance required. Contact Sachi Hawaii Pacific Century Properties LLC to schedule a showing (808) 596-9258.	AC Split, Auto Garage Door Opener, Blinds, Ceiling Fan, Dishwasher, Disposal, Dryer, Microwave Hood, Range/Oven, Refrigerator, Solar Electric, Storage, Washer, Yard	Carport, Covered - 2, Secured Entry	--	None	Partial	BBQ, Private Yard, Storage	--	--	Detach Single Family	Application Fee, Insurance Required, Non-Smoking	['https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/45/202416345_21.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202416345
202404496	-	False	-	-	-	-	-	-	-	-	Active	$16,500	Long Term	August 15, 2024	6	4	1	2	11,625	3,662	--	--	Oahu	Diamond Head	Kahala Area	No	No	$16,500	6 Months	"Nestled on a quieter street in one of the most sought-after neighborhoods in Honolulu, this Kahala mini oasis awaits you. Gated and private, this multi-level, spacious, upgraded home is perfect for someone who is looking for 6 bedrooms that has a lot of privacy. Inviting kitchen and free flowing floor plan with two living rooms and dining room which open to the outdoor pool, lounge, seating, outdoor dining and BBQ area is prefect for indoor outdoor living and entertaining. Enjoy lazy days and nights by the pool listening to tranquil sounds from manmade waterfalls rising some 30 plus feet in the back yard. Bedrooms are located on the upper levels and in separate wings for privacy. Separate studio with full bath and wet bar located off the garage area. Property is Available for long term and is fully furnished, includes Gardner and pool service. Lessee pays own utilities and GET taxes. This price is for long-term only. Owner is open to 30 day rental at a higher price and different terms. Inquire if interested.
542 Ahina St. is a house located in Honolulu County and the 96816 ZIP Code."	AC Split, Auto Garage Door Opener, Blinds, Ceiling Fan, Dishwasher, Disposal, Dryer, Fenced, Kitchenware, Lanai, Linens, Microwave Hood, Microwave, Multi Level, Refrigerator, Security System, Smoke Detector, Washer, Yard	Open - 3+, Secured Entry, Street	Other	Sunrise	Full	BBQ, Pool on Property, Private Yard	--	--	Detach Single Family, Studio Cottage	--	['https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_21.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_22.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_23.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/96/202404496_24.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202404496
202415572	1228 Koloa St, Honolulu, HI 96816	True	21.2675086	-157.7890219	-	1228 Koloa St	-	Honolulu	HI	96816	Active	$5,000	Long Term	August 26, 2024	2	2	0	2	8,625	1,516	--	--	Oahu	Diamond Head	Kahala Area	No	No	$5,000	1 Year	Move in ready, this extremely well kept single level home in Kahala is the perfect alternative to condo living without the large upkeep. Perched above Kahala in a special location, this home offers you views over Kahala with peek-a-boo ocean views while maintaining privacy at this elevation. Split A/C is located in the primary bedroom, guest bedroom and living room and each bedroom has its own en suite bath. Rarely available, this one won’t last long. Newer aluminium metal roof and solar PV system was installed a few years ago. Electricity bill is now $400-$500 lower per month than before. Landscaping is included in the rent. Please text Ken at 415-676-8110 to schedule a showing, 24-hour notice required. One pet will be allowed up to 20 lbs. with pet deposit. No smoking allowed in or on property grounds. $30 application fee per adult occupant.	AC Split, Auto Garage Door Opener, Blinds, Ceiling Fan, Disposal, Dryer, Range Hood, Range/Oven, Refrigerator, Solar Electric, Washer, Yard	Covered - 2, Garage	Other	Coastline	Partial	--	--	--	Detach Single Family	Application Fee, GET-tenant pays, Inactive Licensed Owner, Non-Smoking	['https://s3.amazonaws.com/photos.re.parallel21.com/72/202415572_01.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202415572
202414699	4999 Kahala Ave #4-370, Honolulu, HI 96816	True	21.2713382	-157.775219	Kahala Beach	4999 Kahala Ave #4-370	#4-370	Honolulu	HI	96816	Active	$6,000	Long Term	September 01, 2024	2	2	0	1	291,024	1,258	--	--	Oahu	Diamond Head	Waialae G/C	No	Yes	$6,000	1 Year, 6 Months	Luxurious indoor-outdoor living at one of the most sought-after buildings in Honolulu. Enjoy tropical breezes and garden views from the covered lanai. This unit includes 2 covered, assigned parking stalls. Kahala Beach Apartments is a perfect alternative to staying in a 6 star resort with its lush grounds fronting a sandy beach, oceanfront pool, plus located right next to the upscale Kahala Resort and Waialae Country Club.	AC Central, Dishwasher, Disposal, Dryer, Kitchenware, Lanai, Linens, Microwave, Range/Oven, Refrigerator, Security System, Smoke Detector, Storage, Washer	Covered - 1, Covered - 2	Ocean	Ocean	Full	Exercise Room, Meeting Room, Pool on Property, Private Yard, Recreation Room, Resident Manager, Storage	--	--	Low-Rise 6 or Less Stories	Application Fee	['https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_21.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/99/202414699_22.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202414699
202418034	927 10th Ave #Pikake, Honolulu, HI 96816	True	21.2794825	-157.8028521	-	927 10th Ave #Pikake	#Pikake	Honolulu	HI	96816	Active	$4,400	Long Term	August 13, 2024	2	1	0	2	1,607	768	--	--	Oahu	Diamond Head	Kaimuki	Yes	Yes	$4,400	Other	"""Na Pua Lani"" in Kaimuki, Honolulu translates to “Heavenly Flowers.” Pikake is one of 3 homes that nests next to Hibiscus and Plumeria Homes. Pikake is a fully furnished 2 Bedrooms, 1 Bathroom with 1 covered shared garage and optional to park another car (tandem) with an outdoor shower. The well-manicured private lawn welcomes every member of your family to a peaceful and relaxing residential retreat. This home tastefully blends Old Hawaiian style with modern, artfully rich decor and colorful touches throughout, creating an ideal living space for family and entertaining friends. Conveniently located to schools, parks, restaurants, and shopping, 5 minutes away from the freeway access and 10 minute drive to Kahala mall and many more!
PROPERTY FEATURES:
-Split AC Units in Every Room
-Refrigerator
- Range/Oven
-Washer/dryer
-Engineered Hard Wood Flooring
-Microwave
-Ceiling Fans
-Storage
-Outdoor Shower
-Disposal
UTILITIES INCLUDED:
-Landscaping
-Electricity
-Water/sewer-Trash
LEASE TERMS:
-Nonsmoking
-Pets Negotiable, NO cats
-Lease terms: Negotiable @ >30 days.
-Credit and background check required
-Non-refundable application fee: $45"	AC Split, Auto Garage Door Opener, Blinds, Ceiling Fan, Dishwasher, Disposal, Dryer, Microwave Hood, Range/Oven, Refrigerator, Washer	Assigned, Covered - 1, Garage, Open - 1, Tandem	Other	Other	Full	None	--	--	Detach Single Family	Application Fee, Insurance Required, Non-Smoking, See Remarks	['https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_21.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_22.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/34/202418034_23.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202418034
202413817	1466 Ihiloa Loop, Honolulu, HI 96821	True	21.2816321	-157.7633216	-	1466 Ihiloa Loop	-	Honolulu	HI	96821	Active	$5,700	Long Term	July 01, 2024	4	3	0	2	8,161	2,912	--	--	Oahu	Diamond Head	Waialae Iki	No	No	$5,700	1 Year	Beautiful 4/3, 2 car garage in desirable Waialae Iki. Quiet neighborhood, ocean views from almost every room. Newer kitchen with double oven, cooktop, refrigerator, dishwasher & upgraded range hood. Separate laundry room. Split a/c & ceiling fan in each bedroom. Large room downstairs with bathroom would be ideal for extended family or live-in helpers. Minimum 1 year lease. Sorry, NO smoking or pets allowed. Tenant to pay for all utilities. $5700 includes yard service. Available July 1. $20 application fee per adult. Discounted rent of $650 to 9/14/24.	AC Split, Ceiling Fan, Dishwasher, Drapes, Dryer, Range Hood, Range/Oven, Refrigerator, Smoke Detector, Washer	Covered - 2, Garage, Street	Other	Ocean	Partial	--	--	--	Detach Single Family	Application Fee, Non-Smoking	['https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/17/202413817_19.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202413817
202417469	3030 Pualei Cir, Honolulu, HI 96815	True	21.2664386	-157.8145808	-	3030 Pualei Cir	-	Honolulu	HI	96815	Active	$3,450	Long Term	August 03, 2024	2	2	0	1	--	1,020	--	--	Oahu	Diamond Head	Diamond Head	No	No	$3,450	1 Year	"Welcome to Pualei Circle, where convenience meets comfort at the steps of Diamond Head. This charming 2 bedroom, 2 bathroom split level condominium offers a perfect blend of functionality and style. Take a dip in the community pool, perfect for those hot summer days or simply lounging by the water. Explore the nearby shops, restaurants, and entertainment options. Schools, parks and of course the Beach is just a few minutes away!
* Custom Kitchen Layout
* Custom Cabinets
* Stainless Steel Appliances (Refrigerator, Range and Dishwasher)
* Quartz Countertops
* Luxury Plank Flooring Throughout
* Custom Bathroom with Walk in Showers
* Split System Air Conditioner
* One (1) Reserved parking
* Lease term: One Year to Start
** Renters Insurance is Required
** Tenant Pays: Electricity, Cable, Internet, Phone Etc
** No Pets"	--	Open - 1	--	Diamond Head	None	BBQ, Pool on Property	--	--	Townhouse	--	['https://s3.amazonaws.com/photos.re.parallel21.com/69/202417469_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/69/202417469_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/69/202417469_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/69/202417469_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/69/202417469_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/69/202417469_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/69/202417469_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/69/202417469_08.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202417469
202412431	2164 Halekoa Dr, Honolulu, HI 96821	True	21.2941689	-157.7764976	-	2164 Halekoa Dr	-	Honolulu	HI	96821	Active	$6,000	Short Term	August 25, 2024	3	2	0	4	7,722	1,356	352	--	Oahu	Diamond Head	Waialae Nui Rdge	No	No	$6,000	Other	"30 Day minimum. Call Lee Ohlson 808-341-6848
Fully furnished 3-bedroom 2 bath home on Waialae Nui ridge. Enjoy mountain, ocean, and sunset views on your large lanai.
Beautiful hardwood floors throughout the house, and elevated ceilings in living room. Enjoy an open dining area and full kitchen with dishwasher, wine fridge, fridge and freezer, stove, oven, microwave and washer and dryer. 2 car carport and parking available in driveway and street. Split AC in all 3 bedrooms and living room.
Includes linens, towels, dishes, cookware, and all utilities.
NO PETS AND NO SMOKING
A minimum stay of 30 nights is required. The tenant is responsible for all taxes and fees. Pricing varies by season. For more details, please contact the agent. Lee Ohlson 808-341-6848 Available now until Dec 15th."	AC Split, Blinds, Cable TV, Dishwasher, Disposal, Dryer, Kitchenware, Lanai, Linens, Microwave, Refrigerator, Smoke Detector, Washer	Carport, Open - 1	--	City, Diamond Head, Mountain, Ocean	Full	Patio/Deck, Private Yard	--	--	Detach Single Family	Application Fee	['https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_21.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_22.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/31/202412431_23.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202412431
202328453	4153 Kilauea Ave, Honolulu, HI 96816	True	21.2691178	-157.7927657	-	4153 Kilauea Ave	-	Honolulu	HI	96816	Active	$6,900	Short Term	October 21, 2024	4	3	0	3	5,000	1,627	--	--	Oahu	Diamond Head	Kahala-Puupanini	No	No	$6,900	1 Year, 6 Months, Month to Month, Other	"Welcome to this perfect blend of expert stonemasonry and modern luxuries. Featuring 4 large bedrooms, 3 remodeled bathrooms, a living room with picture window, separate dining room, family-sized kitchen, 2 car secured garage with a bonus parking, and covered private patio. The one-of-a-kind, private patio comes with your very own movie projector with 120"" screen, 12 skylights, and space to keep your surfboards/bicycles. Real grass in the back yard and stone garden in the front yard. Wall AC in every bedroom. Brand new windows with sturdy vertical blinds give this home the peace and quiet that you have been looking for. Close to Kahala Mall and beaches. All utilities included."	AC Split, ADA Compliant, Auto Garage Door Opener, Blinds, Bedroom on 1st Level, Book Shelves, Cable TV, Ceiling Fan, Chandelier, Dishwasher, Disposal, Dryer, Fenced, Lanai, Range Hood, Range/Oven, Refrigerator, Single Level, Storage, Washer, Yard	Carport, Garage, Secured Entry, Street	--	Garden, Other	Full	BBQ, Private Yard, Recreation Room, Storage	--	--	Detach Single Family	Insurance Required, Licensed Owner, Non-Smoking, See Remarks	['https://s3.amazonaws.com/photos.re.parallel21.com/53/202328453_01.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202328453
202415639	2895 Kalakaua Ave #1403, 1404, 140, Honolulu, HI 96815	True	21.2622851	-157.8212803	Colony Surf Ltd	2895 Kalakaua Ave #1403, 1404, 140	#1403, 1404, 140	Honolulu	HI	96815	Active	$12,500	Long Term	August 01, 2024	3	3	0	1	--	2,372	--	--	Oahu	Diamond Head	Diamond Head	No	Yes	$12,500	1 Year	Live in Paradise, beachfront on the Gold Coast at the Colonly Surf. Spectacular ocean view's from all bedrooms and living areas. Beautiful, fully furnished, inviting 3 bedroom, 3 bath, 2 separate entryways into this fabulous home. 3rd bedroom is created by pull out wall. Full kitchen with a gas stove, dishwasher, island and counter eating area, everything one could need. There are also two very functional, upscale kitchenettes with full refrigerators, one has a large wine refrigerator. There are two washing machines and two dryers. Rent includes electric, water, internet, basic cable, all set and ready to go. Housekeeping is included as well, quarterly, 4 hours each time. Two assigned coved parking stalls. Close to upscale shops, world-class restaurants, Waikiki beach, Honolulu Zoo, Kapiolani Park, Elks Club. and more. Credit score required, looking for 6-month to 12-month lease. Please email for showing request.	Blinds, Cable TV, Dishwasher, Disposal, Dryer, Kitchenware, Linens, Microwave Hood, Microwave, Other, Range Hood, Range/Oven, Refrigerator, Smoke Detector, Washer	Assigned, Covered - 2	Ocean	Ocean, Sunset	Full	Resident Manager, Restaurant, Security Guard, Trash Chute	--	--	High-Rise 7+ Stories	Insurance Required, Non-Smoking	['https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_21.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_22.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_23.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_24.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/39/202415639_25.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202415639
