input_id	clean_full_add	is_good_addy	lat	lon	loc_name	street_add	unit	city	state	zip_code	active_status_str	curr_price	curr_type	curr_date	bedrooms	full_baths	half_baths	parking	land_area	live_area	lanai_area	other_area	island	region	hood	pets_allowed	res_man	deposit	term	description	unit_features	parking_features	frontage	view	furnished	amenities	pool	inclusions	build_style	disclosures	img_urls	orig_url
202501274	3251  Monsarrat Ave, Honolulu, HI 96815	True	21.2694744	-157.8096917	-	3251  Monsarrat Ave	-	Honolulu	HI	96815	Active	$5,000	Long Term	February 01, 2025	3	3	0	4	4,743	1,680	--	--	Oahu	Diamond Head	Kapahulu	Yes	No	$5,000	1 Year	Available February 1, 2025. Incredible location on the slopes of Diamond Head close to Kapiolani Park, KCC, Waikiki School and beaches. This classic 3 bedroom 3 bath home has been recently renovated including new paint inside and out, new flooring, updated bathrooms and more. Spacious layout offers privacy and each bedroom is ensuite. City, sunset, ocean and mountain views from the living room ans ceiling fans in every room. There is NO AC in this house. One dog under 50 pounds OR 2 cats considered with a pet deposit. No smoking/vaping or co-signers allowed and minimum credit scores of 700 for each adult. NOTE there is one flight of stairs to entry of home. 2 car carport and room for 2 more cars behind in the driveway. Tenant pays for electricity, sewer/water, cable/internet. Renters insurance required ($300K minimum liability). $30 non-refundable application fee per adult. No site unseen applications - must see in person. 24 hour notice to show and agent must be present. MUST CALL OFFICE FOR ALL SHOWING REQUESTS. NO COSIGNERS.	Cable TV, Ceiling Fan, Disposal, Dryer, Fenced, Lanai, Range Hood, Range/Oven, Refrigerator, Single Level, Smoke Detector, Washer, Yard	Carport, Covered - 2, Open - 2, Street, Tandem	Other	City, Garden, Mountain, Ocean, Sunset	None	Patio/Deck, Private Yard	--	--	Detach Single Family, No Unit Above or Below	Application Fee, Insurance Required, Non-Smoking	['https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_21.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_22.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_23.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/74/202501274_24.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202501274
202501436	3233  Pahoa Ave, Honolulu, HI 96816	True	21.2836845	-157.8091082	-	3233  Pahoa Ave	-	Honolulu	HI	96816	Active	$4,500	Long Term	February 01, 2025	5	3	0	5	2,012	1,591	--	--	Oahu	Diamond Head	Kaimuki	--	No	$4,500	1 Year, 6 Months	5 bedroom home with 3 full bathrooms & parking for up to 5 vehicles.  Split AC throughout with 2 living areas.	AC Split, Bedroom on 1st Level, Ceiling Fan, Dishwasher, Dryer, Full Bath on 1st Floor, Microwave Hood, Range/Oven, Refrigerator, Washer	Open - 3+, Street	Other	Other	None	--	--	--	Detach Single Family	Application Fee	['https://s3.amazonaws.com/photos.re.parallel21.com/36/202501436_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/36/202501436_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/36/202501436_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/36/202501436_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/36/202501436_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/36/202501436_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/36/202501436_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/36/202501436_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/36/202501436_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/36/202501436_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/36/202501436_11.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202501436
202420976	2979  Kalakaua Ave #404, Honolulu, HI 96815	True	21.260113	-157.819704	Coral Strand ltd	2979  Kalakaua Ave #404	#404	Honolulu	HI	96815	Active	$9,800	Long Term	January 03, 2025	2	2	0	1	--	1,693	--	--	Oahu	Diamond Head	Diamond Head	No	Yes	$9,800	1 Year, 6 Months	This stunning fully furnished two-bedroom, two-bath oceanfront condo offers a perfect blend of luxury and tranquility. With a very large, open, and spacious floor plan, the living areas flow seamlessly, providing ample room for relaxation and entertaining. This ocean front condominium also has breathtaking views of both the park and Diamond Head surround you, complemented by lush greenery right outside your windows. The condo has been beautifully remodeled, featuring a modern kitchen complete w a custom marble feature wall and updated bathrooms. Features secured parking and high end appliances. The elegant white shutters, custom Maplewood built ins, and travertine floors add a touch of sophistication throughout. Living here feels like being in a resort, with access to a heated swimming pool and shaded areas with umbrellas just downstairs. Plus, you can open the gate and step directly into the beautiful ocean, making this property an unparalleled oasis for beachfront living.	Blinds, Bedroom on 1st Level, Book Shelves, Cable TV, Chandelier, Corner/End, Dishwasher, Disposal, Dryer, Even# Unit, Full Bath on 1st Floor, Microwave Hood, Microwave, Range/Oven, Refrigerator, Washer	Covered - 1, Secured Entry	Ocean	Diamond Head, Ocean	Full	Patio/Deck, Pool on Property, Resident Manager	--	--	Co-op	Licensed Owner	['https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/76/202420976_17.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202420976
202421219	3850  Kilauea Ave #C, Honolulu, HI 96816	True	21.2722956	-157.798113	-	3850  Kilauea Ave #C	#C	Honolulu	HI	96816	Active	$5,950	Long Term	December 09, 2024	3	2	0	2	5,025	1,566	--	--	Oahu	Diamond Head	Kaimuki	No	No	$5,950	1 Year	Enjoy incredible views from this 3 bedroom plus loft, 2 full baths in super convenient sought after location directly across from Kapiolani Community college. Includes a deluxe kitchen with granite counter tops, 2 tandem parking, and a lovely covered lanai to take in the view.	Cable TV, Ceiling Fan, Chandelier, Dishwasher, Dryer, Microwave Hood, Microwave, Range/Oven, Refrigerator, Washer	--	Other	Coastline, Ocean	Full	--	--	--	Detach Single Family, Duplex	Application Fee, GET-tenant pays	['https://s3.amazonaws.com/photos.re.parallel21.com/19/202421219_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/19/202421219_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/19/202421219_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/19/202421219_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/19/202421219_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/19/202421219_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/19/202421219_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/19/202421219_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/19/202421219_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/19/202421219_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/19/202421219_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/19/202421219_12.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202421219
202427810	4340  Pahoa Ave #7D, Honolulu, HI 96816	True	21.274857	-157.7867013	Regency at Kahala	4340  Pahoa Ave #7D	#7D	Honolulu	HI	96816	Active	$4,000	Long Term	January 01, 2025	2	2	0	1	36,285	1,395	--	--	Oahu	Diamond Head	Kahala Area	No	Yes	$4,000	1 Year, 6 Months	6-month minimum lease.  Available January 1, 2025. This two-bedroom, two-bathroom, with one parking stall is now available for rent at Regency at Kahala.  Conveniently located next door to Kahala Mall. Easy access to H-1 freeway and Kalanianaole highway.	Central AC, Dishwasher, Disposal, Drapes, Dryer, Microwave Hood, Range/Oven, Refrigerator, Smoke Detector, Washer	Assigned, Open - 1	--	City, Diamond Head, Mountain	Partial	Pool on Property, Resident Manager, Security Guard, Trash Chute	--	--	High-Rise 7+ Stories	Application Fee, Insurance Required, Non-Smoking, See Remarks	['https://s3.amazonaws.com/photos.re.parallel21.com/10/202427810_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/10/202427810_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/10/202427810_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/10/202427810_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/10/202427810_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/10/202427810_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/10/202427810_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/10/202427810_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/10/202427810_09.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202427810
202428229	2368  St Louis Dr, Honolulu, HI 96816	True	21.3005432	-157.8013473	-	2368  St Louis Dr	-	Honolulu	HI	96816	Active	$7,000	Long Term	December 12, 2024	4	3	1	2	--	3,419	--	--	Oahu	Diamond Head	St. Louis	Yes	No	$7,000	1 Year	"Please text John (808)277-0652 for showing requests, kindly include the rental address in your message. Four-bedroom, 3.5-bath Single-Family Residence near Wa'ahila Ridge Trail, Waioma Stream, UH Manoa, and much more! Three bedrooms/2.5 baths upstairs. The downstairs bedroom comes with a full bathroom and a wet bar. Enjoy a spacious living area with an open kitchen and living room concept. Kitchen nook with a Diamond Head and coastline view. 

Featuring a built-in Punee in the living room. This home includes a chair lift for easy access from the garage to the second level. Custom built-in office area in primary bedroom. Walk-in closet and double vanities in the primary bathroom."	AC Window Unit, Bedroom on 1st Level, Book Shelves, Built-ins, Dishwasher, Dryer, Gas Range, Kitchen Island, Lanai, Range Hood, Refrigerator, Smoke Detector, Split Level, Walk-in Closet, Washer	Covered - 2	--	Coastline, Diamond Head	Partial	Patio/Deck, Private Yard	--	--	Attached	Application Fee, Insurance Required, Non-Smoking	['https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_21.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_22.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202428229_23.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202428229
202501078	961  Kealaolu Ave, Honolulu, HI 96816	True	21.2724566	-157.7803899	-	961  Kealaolu Ave	-	Honolulu	HI	96816	Active	$5,250	Long Term	January 06, 2025	2	2	0	2	11,151	1,580	--	--	Oahu	Diamond Head	Kahala Area	--	No	$5,250	1 Year	Renovated 2-bedroom, 2-bath main home for rent with 2 parking spaces in Kahala. Shared washer and dryer. Conveniently located near Kahala shopping mall. Rent includes electricity, water, and sewer. Tenant to pay cable and internet.	Cable TV, Ceiling Fan, Dishwasher, Disposal, Double Sinks, Dryer, Electric Oven, Electric Range, Quartz Countertops, Range/Oven, Refrigerator, Single Level, Smoke Detector, Stainless Steel Appliances, Walk-in Closet, Washer	Open - 2, Other	Golf Course	Golf Course	Partial	Patio/Deck, Private Yard	--	--	Detach Single Family	Application Fee, Non-Smoking	['https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_21.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_22.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_23.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_24.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/78/202501078_25.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202501078
202424073	4153  Kilauea Ave, Honolulu, HI 96816	True	21.2691178	-157.7927657	-	4153  Kilauea Ave	-	Honolulu	HI	96816	Active	$6,500	Short Term	November 09, 2024	4	3	0	3	5,000	1,627	--	--	Oahu	Diamond Head	Kahala-Puupanini	No	No	$6,500	1 Year, 6 Months, Month to Month, Other	"Welcome to this extensively renovated home with perfect blend of expert stonemasonry and modern luxuries. Featuring 4 extra-large bedrooms, 3 remodeled bathrooms, a living room with picture window, separate dining room, family-sized kitchen, 2 car secured garage with a bonus parking, and covered private patio. The one-of-a-kind, private patio comes with your very own movie projector with 120"" screen TV, 12 wireless control inset ceiling lights inside and a patio skylight outside provide additional spaces to relax outside, and space to keep your surfboards/bicycles. Real grass in the back yard and stone garden in the front yard. Wall AC in every bedroom. Brand new windows with sturdy vertical blinds give this home the peace and quiet that you have been looking for. Close to Kahala Mall and beaches. Vacant and move-in-ready. Previous Tenant was paying $7, 200 per month. Act now to lock in the reduced price!"	AC Split, ADA Compliant, Auto Garage Door Opener, Blinds, Bedroom on 1st Level, Book Shelves, Cable TV, Ceiling Fan, Chandelier, Dishwasher, Disposal, Dryer, Fenced, Lanai, Range Hood, Range/Oven, Refrigerator, Single Level, Storage, Washer, Yard	Carport, Garage, Secured Entry, Street	--	Garden, Other	Full	BBQ, Private Yard, Recreation Room, Storage	--	--	Detach Single Family	Insurance Required, Licensed Owner, Non-Smoking, See Remarks	['https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/73/202424073_20.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202424073
202425929	5321  Kahalakua St, Honolulu, HI 96821	True	21.2882812	-157.760671	-	5321  Kahalakua St	-	Honolulu	HI	96821	Active	$5,995	Long Term	December 01, 2024	3	2	1	2	10,466	2,802	--	--	Oahu	Diamond Head	Kahala Kua	--	No	$5,995	1 Year	"Enjoy the fantastic unobstructed views and the best in East Oahu living! Kahalakua a gated community a part of the Waialae Iki subdivision. This beautiful & spacious 2800 sq. ft. 2-story home features 2 master suites, 2.5 baths, a third room that is great for office space or a guest bedroom. The 1st floor has an amazing flowing space that has front-seat views of the ocean and mountains, a large covered lanai, a gourmet kitchen with gas stovetop, mini bar, endless granite countertops, spacious pantry, wine refrigerator, and laundry room. Master bedroom suite, walk-in closet, ""tea for two"" jacuzzi tub in the master suite bathroom. A third room can be used for a private office space or guest bedroom, 1/2 bathroom.

2nd floor is a ""loft"" style-design; you can have a second office or very spacious living area, walk-in closet, great storage space. The exterior and interior of the home are newly painted, brand new carpet, washer/dryer, solar water heater. No a/c units, very breezy. It is a non-smoking property. Sorry, no pets."	Dishwasher, Disposal, Dryer, Lanai, Microwave, Range/Oven, Refrigerator, Solar Water, Storage, Washer	Garage	--	Mountain, Ocean	Partial	--	--	--	Duplex	Application Fee, Non-Smoking, See Remarks	['https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_19.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_20.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_21.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_22.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_23.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/29/202425929_24.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202425929
202428847	3015  Kalakaua Ave #601, Honolulu, HI 96815	True	21.2592775	-157.8193067	Oceanside Manor	3015  Kalakaua Ave #601	#601	Honolulu	HI	96815	Active	$5,200	Long Term	December 28, 2024	1	2	0	1	--	1,082	--	--	Oahu	Diamond Head	Diamond Head	Yes	Yes	$5,200	1 Year	"Furnished corner unit located on the 6th floor of Oceanside Manor, & at the base of Diamond Head. There are only 2 units per floor. Interior sq. footage is Apprx. 1, 000+. It overlooks the ocean & has gated access to the walkway & ocean. There is a resident club room for entertaining & a surfboard cage to keep your board secure.
The 2nd bedroom has been turned into a den/guest bedroom. The Primary Bedroom has a California King Bed. Tenant is to supply their own linens & towels.  The kitchen is fully equipted with appliances, cookware & cook books. The washer/dryer is there, too.
There are 4 split A/Cs, 2 ceiling fans, 3 Televisons......& the sound & smell of the ocean.
It is available now for 12 months periods.  $5200/month includes water, sewer, basic cable. Tenant pays for Electricity & additional cable & internet. It comes with one open assigned parking stall. There is no guest parking. This is a non smoking building.
Call 808-739-2323 Kawakami Property Management, to see property. Showing Monday - Friday 8:30 am - 3:00 pm. Contact Drudi Johnston, RB-20008"	AC Split, Blinds, Cable TV, Ceiling Fan, Corner/End, Dishwasher, Disposal, Dryer, Kitchenware, Microwave, Microwave Hood, Odd# Unit, Range/Oven, Refrigerator, Self Cleaning Oven, Single Level, Smoke Detector, Washer	Assigned, Open - 1, Street	Waterfront	Diamond Head, Ocean, Sunset	Full	Club House	--	--	High-Rise 7+ Stories	Application Fee, Insurance Required, Non-Smoking	['https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_01.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_02.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_03.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_04.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_05.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_06.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_07.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_08.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_09.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_10.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_11.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_12.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_13.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_14.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_15.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_16.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_17.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_18.jpg', 'https://s3.amazonaws.com/photos.re.parallel21.com/47/202428847_19.jpg']	https://propertysearch.hicentral.com/HBR/ForRent/?/202428847
